time(s)	cellId	rnti	lcid	packetSize
14.2862	2	5	3	97
14.2896	2	28	3	335
14.2944	2	19	3	368
14.3403	2	8	3	81
14.3686	2	28	3	335
14.4143	2	1	3	429
14.4476	2	28	3	335
14.4522	2	5	3	97
14.4854	2	25	3	473
14.5266	2	28	3	335
14.5433	2	1	3	429
14.56	2	30	3	58
14.5612	2	17	3	195
14.5863	2	15	3	139
14.6056	2	28	3	335
14.6182	2	5	3	97
14.6723	2	1	3	429
14.6807	2	22	3	309
14.6846	2	28	3	335
14.7317	2	24	3	33
14.7636	2	28	3	335
14.7842	2	5	3	97
14.8013	2	1	3	429
14.8148	2	7	3	438
14.8426	2	28	3	335
14.8565	2	9	3	476
14.9216	2	28	3	335
14.9259	2	11	3	356
14.9303	2	1	3	429
14.9502	2	5	3	97
14.9659	2	27	3	228
14.9765	2	29	3	389
15.0006	2	28	3	335
15.012	2	16	3	486
15.0593	2	1	3	429
15.0732	2	4	3	186
15.0796	2	28	3	335
15.1162	2	5	3	97
15.1255	2	2	3	494
15.1586	2	28	3	335
15.1653	2	15	3	139
15.1794	2	3	3	369
15.1883	2	1	3	429
15.2376	2	28	3	335
15.2822	2	5	3	97
15.3166	2	28	3	335
15.3173	2	1	3	429
15.3367	2	22	3	309
15.3956	2	28	3	335
15.425	2	26	3	270
15.4463	2	1	3	429
15.4482	2	5	3	97
15.4746	2	28	3	335
15.4997	2	24	3	33
15.5536	2	28	3	335
15.5622	2	13	3	286
15.5753	2	1	3	429
15.6142	2	5	3	97
15.6326	2	28	3	335
15.6947	2	18	3	447
15.7043	2	1	3	429
15.7116	2	28	3	335
15.7443	2	15	3	139
15.7802	2	5	3	97
15.7906	2	28	3	335
15.8333	2	1	3	429
15.8696	2	28	3	335
15.9462	2	5	3	97
15.9486	2	28	3	335
15.9623	2	1	3	429
15.9927	2	22	3	309
15.9972	2	20	3	252
16.0276	2	28	3	335
16.0913	2	1	3	429
16.1066	2	28	3	335
16.1122	2	5	3	97
16.1572	2	17	3	195
16.16	2	30	3	58
16.1856	2	28	3	335
16.2203	2	1	3	429
16.2646	2	28	3	335
16.2677	2	24	3	33
16.2782	2	5	3	97
16.2818	2	7	3	438
16.2837	2	12	3	313
16.2978	2	23	3	52
16.3233	2	15	3	139
16.3436	2	28	3	335
16.3493	2	1	3	429
16.4226	2	28	3	335
16.4442	2	5	3	97
16.4783	2	1	3	429
16.5016	2	28	3	335
16.5806	2	28	3	335
16.6073	2	1	3	429
16.6102	2	5	3	97
16.6487	2	22	3	309
16.6596	2	28	3	335
16.7363	2	1	3	429
16.7386	2	28	3	335
16.7762	2	5	3	97
16.8176	2	28	3	335
16.8335	2	14	3	333
16.8653	2	1	3	429
16.8774	2	25	3	473
16.8966	2	28	3	335
16.9023	2	15	3	139
16.9422	2	5	3	97
16.9756	2	28	3	335
16.9943	2	1	3	429
17.0357	2	24	3	33
17.0494	2	3	3	369
17.0546	2	28	3	335
17.0749	2	10	3	497
17.1064	2	19	3	368
17.1082	2	5	3	97
17.1131	2	6	3	247
17.1233	2	1	3	429
17.1336	2	28	3	335
17.1803	2	8	3	81
17.2126	2	28	3	335
17.2457	2	18	3	447
17.2523	2	1	3	429
17.2742	2	5	3	97
17.2916	2	28	3	335
17.3047	2	22	3	309
17.3706	2	28	3	335
17.3813	2	1	3	429
17.4402	2	5	3	97
17.4496	2	28	3	335
17.4813	2	15	3	139
17.5103	2	1	3	429
17.5286	2	28	3	335
17.6062	2	5	3	97
17.6076	2	28	3	335
17.6393	2	1	3	429
17.6866	2	28	3	335
17.7482	2	20	3	252
17.7488	2	7	3	438
17.7532	2	17	3	195
17.76	2	30	3	58
17.7656	2	28	3	335
17.7683	2	1	3	429
17.7722	2	5	3	97
17.8037	2	24	3	33
17.8446	2	28	3	335
17.8973	2	1	3	429
17.9236	2	28	3	335
17.9382	2	5	3	97
17.9607	2	22	3	309
17.97	2	16	3	486
18.0026	2	28	3	335
18.0263	2	1	3	429
18.0552	2	4	3	186
18.0603	2	15	3	139
18.0816	2	28	3	335
18.1042	2	5	3	97
18.1553	2	1	3	429
18.1606	2	28	3	335
18.2396	2	28	3	335
18.2702	2	5	3	97
18.2843	2	1	3	429
18.3186	2	28	3	335
18.3976	2	28	3	335
18.4133	2	1	3	429
18.4362	2	5	3	97
18.458	2	26	3	270
18.4766	2	28	3	335
18.5423	2	1	3	429
18.5556	2	28	3	335
18.5717	2	24	3	33
18.5948	2	23	3	52
18.6022	2	5	3	97
18.6167	2	22	3	309
18.6346	2	28	3	335
18.6393	2	15	3	139
18.6439	2	27	3	228
18.6713	2	1	3	429
18.6825	2	29	3	389
18.7098	2	21	3	476
18.7136	2	28	3	335
18.7682	2	5	3	97
18.7926	2	28	3	335
18.7967	2	18	3	447
18.8003	2	1	3	429
18.8565	2	2	3	494
18.8716	2	28	3	335
18.9194	2	3	3	369
18.9293	2	1	3	429
18.9342	2	5	3	97
18.9506	2	28	3	335
19.0296	2	28	3	335
19.0583	2	1	3	429
19.1002	2	5	3	97
19.1086	2	28	3	335
19.1873	2	1	3	429
19.1876	2	28	3	335
19.2158	2	7	3	438
19.2183	2	15	3	139
19.2662	2	5	3	97
19.2666	2	28	3	335
19.2694	2	25	3	473
19.2727	2	22	3	309
19.3163	2	1	3	429
19.3397	2	24	3	33
19.3456	2	28	3	335
19.3492	2	17	3	195
19.36	2	30	3	58
19.3912	2	13	3	286
19.4246	2	28	3	335
19.4322	2	5	3	97
19.4453	2	1	3	429
19.4992	2	20	3	252
19.5036	2	28	3	335
19.5743	2	1	3	429
19.5826	2	28	3	335
19.5982	2	5	3	97
19.6065	2	14	3	333
19.6616	2	28	3	335
19.7033	2	1	3	429
19.7406	2	28	3	335
19.7475	2	9	3	476
19.7642	2	5	3	97
19.7973	2	15	3	139
19.8323	2	1	3	429
19.8449	2	11	3	356
19.9184	2	19	3	368
19.9287	2	22	3	309
19.9302	2	5	3	97
19.9613	2	1	3	429
20.0203	2	8	3	81
20.0903	2	1	3	429
20.0962	2	5	3	97
20.1077	2	24	3	33
20.2193	2	1	3	429
20.2622	2	5	3	97
20.3247	2	12	3	313
20.3477	2	18	3	447
20.3483	2	1	3	429
20.3763	2	15	3	139
20.4282	2	5	3	97
20.4773	2	1	3	429
20.5847	2	22	3	309
20.5942	2	5	3	97
20.6063	2	1	3	429
20.6828	2	7	3	438
20.7353	2	1	3	429
20.7602	2	5	3	97
20.7894	2	3	3	369
20.8643	2	1	3	429
20.8757	2	24	3	33
20.8918	2	23	3	52
20.9262	2	5	3	97
20.928	2	16	3	486
20.9452	2	17	3	195
20.9553	2	15	3	139
20.96	2	30	3	58
20.9933	2	1	3	429
21.0372	2	4	3	186
21.0922	2	5	3	97
21.1223	2	1	3	429
21.2407	2	22	3	309
21.2502	2	20	3	252
21.2513	2	1	3	429
21.2582	2	5	3	97
21.3019	2	10	3	497
21.3331	2	6	3	247
21.3803	2	1	3	429
21.4242	2	5	3	97
21.491	2	26	3	270
21.5093	2	1	3	429
21.5343	2	15	3	139
21.5902	2	5	3	97
21.6383	2	1	3	429
21.6437	2	24	3	33
21.6614	2	25	3	473
21.7562	2	5	3	97
21.7673	2	1	3	429
21.8963	2	1	3	429
21.8967	2	22	3	309
21.8987	2	18	3	447
21.9222	2	5	3	97
22.0253	2	1	3	429
22.0882	2	5	3	97
22.1133	2	15	3	139
