time(s)	cellId	rnti	lcid	packetSize	delay(s)
16.791	2	5	3	97	0.0148586
16.834	2	28	3	335	0.0164736
16.85	2	14	3	333	0.0165136
16.883	2	1	3	429	0.0176896
16.897	2	25	3	473	0.0196556
16.913	2	28	3	335	0.0164736
16.92	2	15	3	139	0.0177256
16.957	2	5	3	97	0.0148586
16.992	2	28	3	335	0.0164736
17.012	2	1	3	429	0.0176896
17.044	2	24	3	33	0.00829956
17.066	2	3	3	369	0.0166216
17.071	2	28	3	335	0.0164736
17.092	2	10	3	497	0.0171106
17.123	2	5	3	97	0.0148586
17.124	2	19	3	368	0.0176466
17.133	2	6	3	247	0.0199366
17.141	2	1	3	429	0.0176896
17.15	2	28	3	335	0.0164736
17.195	2	8	3	81	0.0146946
17.229	2	28	3	335	0.0164736
17.263	2	18	3	447	0.0173656
17.27	2	1	3	429	0.0176896
17.289	2	5	3	97	0.0148586
17.308	2	28	3	335	0.0164736
17.321	2	22	3	309	0.0163026
17.387	2	28	3	335	0.0164736
17.399	2	1	3	429	0.0176896
17.455	2	5	3	97	0.0148586
17.466	2	28	3	335	0.0164736
17.496	2	15	3	139	0.0147256
17.528	2	1	3	429	0.0176896
17.545	2	28	3	335	0.0164736
17.621	2	5	3	97	0.0148586
17.624	2	28	3	335	0.0164736
17.657	2	1	3	429	0.0176896
17.703	2	28	3	335	0.0164736
17.766	2	7	3	438	0.0172376
17.771	2	17	3	195	0.0178176
17.773	2	20	3	252	0.0248436
