time(s)	cellId	rnti	lcid	packetSize
4.17207	2	5	3	57
4.17307	2	12	3	127
4.17407	2	12	3	127
4.17507	2	12	3	9
4.17607	2	15	3	99
4.18307	2	28	3	44
4.18907	2	28	3	127
4.19007	2	28	3	127
4.19107	2	28	3	45
4.19207	2	22	3	44
4.19807	2	22	3	127
4.19907	2	22	3	127
4.20007	2	22	3	19
4.22907	2	1	3	44
4.23507	2	1	3	127
4.23607	2	1	3	127
4.23707	2	1	3	127
4.23807	2	1	3	14
4.26207	2	28	3	44
4.26807	2	28	3	127
4.26907	2	28	3	127
4.27007	2	28	3	45
4.33207	2	5	3	44
4.33807	2	5	3	57
4.34107	2	28	3	44
4.34707	2	28	3	127
4.34807	2	28	3	127
4.34907	2	28	3	45
4.35807	2	1	3	44
4.36407	2	1	3	127
4.36507	2	1	3	127
4.36607	2	1	3	127
4.36707	2	1	3	14
4.39907	2	10	3	44
4.40507	2	10	3	127
4.40607	2	10	3	127
4.40707	2	10	3	127
4.40807	2	10	3	82
4.42007	2	28	3	44
4.42607	2	28	3	127
4.42707	2	28	3	127
4.42807	2	28	3	45
4.45907	2	6	3	44
4.46507	2	6	3	127
4.46607	2	6	3	82
4.48707	2	1	3	44
4.49307	2	1	3	127
4.49407	2	1	3	127
4.49507	2	1	3	127
4.49607	2	1	3	14
4.49807	2	5	3	44
4.49907	2	28	3	44
4.50407	2	5	3	57
4.50507	2	28	3	127
4.50607	2	28	3	127
4.50707	2	28	3	45
4.55107	2	7	3	44
4.55707	2	7	3	127
4.55807	2	7	3	127
4.55907	2	7	3	127
4.56007	2	7	3	23
4.57807	2	28	3	44
4.58407	2	28	3	127
4.58507	2	28	3	127
4.58607	2	28	3	45
4.61607	2	1	3	44
4.62207	2	1	3	127
4.62307	2	1	3	127
4.62407	2	1	3	127
4.62507	2	1	3	14
4.65707	2	28	3	44
4.66307	2	28	3	127
4.66407	2	28	3	127
4.66507	2	28	3	45
4.66607	2	5	3	44
4.67207	2	5	3	57
4.73607	2	28	3	44
4.74207	2	28	3	127
4.74307	2	28	3	127
4.74407	2	28	3	45
4.74507	2	1	3	44
4.74907	2	15	3	44
4.75107	2	1	3	127
4.75207	2	1	3	127
4.75307	2	1	3	127
4.75407	2	1	3	14
4.75507	2	15	3	72
4.75607	2	15	3	29
4.75607	2	24	3	35
4.81507	2	28	3	44
4.81807	2	23	3	44
4.82107	2	28	3	127
4.82207	2	28	3	127
4.82307	2	28	3	45
4.82407	2	21	3	44
4.82407	2	23	3	12
4.83007	2	5	3	44
4.83007	2	21	3	72
4.83107	2	21	3	127
4.83207	2	21	3	127
4.83307	2	21	3	116
4.83607	2	5	3	57
4.84307	2	18	3	44
4.84607	2	22	3	44
4.84907	2	18	3	127
4.85007	2	18	3	127
4.85107	2	18	3	127
4.85207	2	22	3	127
4.85307	2	22	3	127
4.85407	2	18	3	32
4.85407	2	22	3	19
4.87407	2	1	3	44
4.88007	2	1	3	127
4.88107	2	1	3	127
4.88207	2	1	3	127
4.88307	2	1	3	14
4.89407	2	28	3	44
4.90007	2	28	3	127
4.90107	2	28	3	127
4.90207	2	28	3	45
4.92307	2	25	3	44
4.92907	2	25	3	127
4.93007	2	25	3	127
4.93107	2	25	3	127
4.93207	2	25	3	58
4.96607	2	30	3	44
4.97207	2	30	3	18
4.97307	2	28	3	44
4.97907	2	28	3	127
4.98007	2	28	3	127
4.98107	2	28	3	45
4.99107	2	17	3	44
4.99607	2	5	3	44
4.99707	2	17	3	127
4.99807	2	17	3	30
5.00207	2	5	3	57
5.00307	2	1	3	44
5.00907	2	1	3	127
5.01007	2	1	3	127
5.01107	2	1	3	127
5.01207	2	1	3	14
5.05207	2	28	3	44
5.05807	2	28	3	127
5.05907	2	28	3	127
5.06007	2	28	3	45
5.08007	2	9	3	44
5.08607	2	9	3	127
5.08707	2	9	3	127
5.08807	2	9	3	127
5.08907	2	9	3	61
5.09407	2	11	3	16
5.09507	2	11	3	44
5.10007	2	11	3	127
5.10107	2	11	3	127
5.10207	2	11	3	52
5.13107	2	28	3	44
5.13207	2	1	3	44
5.13707	2	28	3	127
5.13807	2	28	3	127
5.13907	2	28	3	45
5.14007	2	1	3	99
5.14107	2	1	3	127
5.14207	2	1	3	127
5.14407	2	1	3	42
5.16207	2	5	3	44
5.16807	2	5	3	57
5.21007	2	28	3	44
5.21607	2	28	3	127
5.21707	2	28	3	127
5.21807	2	28	3	45
5.26107	2	1	3	44
5.26707	2	1	3	127
5.26807	2	1	3	127
5.26907	2	1	3	127
5.27007	2	1	3	14
5.28907	2	28	3	44
5.29507	2	28	3	127
5.29607	2	28	3	127
5.29707	2	28	3	45
5.32807	2	5	3	44
5.32807	2	15	3	44
5.33407	2	5	3	57
5.33407	2	15	3	16
5.33507	2	15	3	85
5.36807	2	28	3	44
5.37407	2	28	3	127
5.37507	2	28	3	127
5.37607	2	28	3	45
5.39007	2	1	3	44
5.39607	2	1	3	127
5.39707	2	1	3	127
5.39807	2	1	3	127
5.39907	2	1	3	14
5.44707	2	28	3	44
5.45307	2	28	3	127
5.45407	2	28	3	127
5.45507	2	28	3	45
5.49407	2	5	3	44
5.49707	2	20	3	44
5.50007	2	5	3	57
5.50207	2	22	3	44
5.50307	2	20	3	127
5.50407	2	20	3	87
5.50807	2	22	3	127
5.50907	2	22	3	127
5.51007	2	22	3	19
5.51907	2	1	3	44
5.52107	2	24	3	35
5.52507	2	1	3	127
5.52607	2	28	3	44
5.52607	2	1	3	72
5.52707	2	1	3	127
5.52807	2	1	3	69
5.53207	2	28	3	127
5.53307	2	28	3	127
5.53407	2	28	3	45
5.60507	2	28	3	44
5.61107	2	28	3	127
5.61207	2	28	3	127
5.61307	2	28	3	45
5.64807	2	1	3	44
5.65407	2	1	3	127
5.65507	2	1	3	127
5.65607	2	1	3	127
5.65707	2	1	3	14
5.66207	2	5	3	44
5.66807	2	5	3	57
5.68407	2	28	3	44
5.69007	2	28	3	127
5.69107	2	28	3	127
5.69207	2	28	3	45
5.74707	2	14	3	44
5.75307	2	14	3	127
5.75407	2	14	3	127
5.75507	2	14	3	43
5.76307	2	28	3	44
5.76907	2	28	3	127
5.77007	2	28	3	127
5.77107	2	28	3	45
5.77707	2	1	3	44
5.78307	2	1	3	127
5.78407	2	1	3	127
5.78507	2	1	3	127
5.78607	2	1	3	14
5.82607	2	8	3	44
5.82607	2	5	3	44
5.83207	2	8	3	16
5.83207	2	5	3	57
5.83307	2	8	3	27
5.83507	2	3	3	44
5.84107	2	3	3	127
5.84207	2	3	3	72
